x,y,z,yaw,velocity,change_flag
-15218.7227,-85024.7031,30.8750,-2.2741,30.6879,0
-15219.8379,-85026.0078,30.7803,-2.2730,31.6042,0
-15220.9355,-85027.2891,30.7042,-2.2723,31.0899,0
-15222.0215,-85028.5469,30.6198,-2.2718,30.4151,0
-15223.1553,-85029.8750,30.5376,-2.2716,31.6328,0
-15224.2607,-85031.1641,30.4553,-2.2737,29.5465,0
-15225.3447,-85032.4375,30.3636,-2.2758,28.5647,0
-15226.4844,-85033.7656,30.2847,-2.2757,31.2951,0
-15227.6123,-85035.0781,30.2032,-2.2748,32.4721,0
-15228.7637,-85036.4141,30.1151,-2.2737,32.5945,0
-15229.8936,-85037.7266,30.0161,-2.2731,31.8220,0
-15231.0352,-85039.0547,29.9422,-2.2729,32.2908,0
-15232.1611,-85040.3672,29.8544,-2.2714,31.8777,0
-15233.2891,-85041.7031,29.7644,-2.2719,31.1858,0
-15234.4297,-85043.0312,29.6704,-2.2742,31.1987,0
-15235.5635,-85044.3516,29.5873,-2.2746,31.1679,0
-15236.7012,-85045.7031,29.4942,-2.2753,31.4792,0
-15237.8477,-85047.0234,29.4113,-2.2765,30.4748,0
-15239.0059,-85048.3594,29.3244,-2.2769,33.0747,0
-15240.1699,-85049.7109,29.2343,-2.2756,32.3988,0
-15241.3232,-85051.0391,29.1517,-2.2754,32.4573,0
